"CODE_CLIENT"	"SOCIETE"	"ADRESSE"	"VILLE"	"CODE_POSTAL"	"PAYS"	"TELEPHONE"	"FAX"
"ANATR"	"Ana Trujillo Emparedados y helados"	"Avda. de la Constitucion 2222"	"Mexico D.F."	"05021"	"Mexique"	"(5) 555-4729"	"(5) 555-3745"
"ANTON"	"Antonio Moreno TaquerÃa"	"Mataderos  2312"	"Mexico D.F."	"05023"	"Mexique"	"(5) 555-3932"	""
"BOTTM"	"Bottom-Dollar Markets"	"23 Tsawassen Blvd."	"Tsawassen"	"T2F 8M4"	"Canada"	"(604) 555-4729"	"(604) 555-3745"
"CACTU"	"Cactus Comidas para llevar"	"Cerrito 333"	"Buenos Aires"	"1010"	"Argentine"	"(1) 135-5555"	"(1) 135-4892"
"CENTC"	"Centro comercial Moctezuma"	"Sierras de Granada 9993"	"Mexico D.F."	"05022"	"Mexique"	"(5) 555-3392"	"(5) 555-7293"
"COMMI"	"Com»rcio Mineiro"	"Av. dos LusÃadas, 23"	"SÑo Paulo"	"05432-043"	"Bresil"	"(11) 555-7647"	""
"FAMIA"	"Familia Arquibaldo"	"Rua Orus, 92"	"SÑo Paulo"	"05442-030"	"Bresil"	"(11) 555-9857"	""
"GOURL"	"Gourmet Lanchonetes"	"Av. Brasil, 442"	"Campinas"	"04876-786"	"Bresil"	"(11) 555-9482"	""
"GREAL"	"Great Lakes Food Market"	"2732 Baker Blvd."	"Eugene"	"97403"	"Etats-Unis"	"(503) 555-7555"	""
"GROSR"	"GROSELLA-Restaurante"	"5ter Ave. Los Palos Grandes"	"Caracas"	"1081"	"Venezuela"	"(2) 283-2951"	"(2) 283-3397"
"HANAR"	"Hanari Carnes"	"Rua do Pa¡o, 67"	"Rio de Janeiro"	"05454-876"	"Bresil"	"(21) 555-0091"	"(21) 555-8765"
"HILAA"	"HILARIîN-Abastos"	"Carrera 22 con Ave. Carlos Soublette #8-35"	"San Crist€bal"	"5022"	"Venezuela"	"(5) 555-1340"	"(5) 555-1948"
"HUNGC"	"Hungry Coyote Import Store"	"City Center Plaza516 Main St."	"Elgin"	"97827"	"Etats-Unis"	"(503) 555-6874"	"(503) 555-2376"
"LAUGB"	"Laughing Bacchus Wine Cellars"	"1900 Oak St."	"Vancouver"	"V3F 2K1"	"Canada"	"(604) 555-3392"	"(604) 555-7293"
"LAZYK"	"Lazy K Kountry Store"	"12 Orchestra Terrace"	"Walla Walla"	"99362"	"Etats-Unis"	"(509) 555-7969"	"(509) 555-6221"
"LETSS"	"Let's Stop N Shop"	"87 Polk St.Suite 5"	"San Francisco"	"94117"	"Etats-Unis"	"(415) 555-5938"	""
